pm_name,lng,lat,pm_location
士林80天壽二號,121.52642059,25.113260269,中山北路六段左側，士東國小對面
士林89號綠地,121.52893066,25.105770111,德行東路104巷口
天福綠地,121.532547,25.116750717,天母東路22巷23號對面
永倫綠地,121.50052643,25.091520309,倫等街
至臨綠地,121.55560303,25.104290009,外雙溪至善路二段290號
東吳綠地,121.5427475,25.096580505,臨溪路旁
添壽一號綠地,121.52690125,25.116739273,天母西路32巷底
聖山綠地,121.53234863,25.106830597,忠義街，德行東路190巷交叉口
福文公園,121.52722931,25.090650558000004,中山北路五段441號
福德綠地,121.51229095,25.079509735,重慶北路四段1巷，高速公路交流道旁
蘭興1號綠地(士林173號,121.52619934,25.112800598000003,中山北路六段士東路口
士林3號廣場,121.52461243,25.104530334,忠誠路中山北路六段交叉口西側
士林4號廣場,121.53199005,25.096050262,福林路與雨農路交叉口
天母廣場,121.5300827,25.118749619000003,中山北路與天母東.西路交接處
天生廣場,121.53125,25.126190186,中山北路七段219巷旁
一江公園,121.53125763,25.053279877,一江街31號對面
八二三砲戰紀念公園,121.52677155,25.076799393,圓山飯店東側
力行三號公園,121.53668976,25.085430145,"通北街146巷,力行新村附近"
下埤公園,121.5422821,25.06701088,民族東路512巷內
下塔悠公園,121.55956268,25.076929092,樂群一路旁，基隆河截彎取直範圍內(平均地權基金)
上塔悠公園,121.55200195,25.077510834,樂群一路旁，基隆河截彎取直範圍內(平均地權基金)
大佳社區公園,121.53765869,25.072750092,濱江街154巷對面（高速公路旁）
大直公園,121.54727936,25.082710266,北安路621巷30號邊
中427公園,121.55599213,25.080329895,敬業三路與樂群二路交會口
中428公園,121.553485,25.078447,樂群二路30巷內
中429公園,121.555858,25.078469,樂群二路116巷旁
中430公園,121.56208038,25.078290939,基湖路120巷30弄1至7號對面
中431公園,121.56520844,25.077400208,基湖路151巷46弄對面
中山21號廣場,121.55628204,25.080799103,"樂群二路旁,基隆河截彎取直範圍內"
中吉公園,121.53183746,25.056360245,松江路170巷內
中安公園,121.52398682,25.056489944000003,中山北路2段65巷2弄內
中原公園,121.52858734,25.055810928000003,吉林路144巷與中原街交口處
仁德公園,121.52908325,25.053180695,吉林路108巷吉林國小附近
四平公園,121.53450775,25.053230286,松江路123巷內
正守公園,121.528745,25.048051,長安東路一段56巷
民享公園,121.52111053,25.059230804,民生西路45巷9弄內
永安公園,121.54521179,25.079120636,北安路518巷14弄內
永直公園,121.55052948,25.08147049,北安路608巷14弄1號
永盛公園,121.52480316,25.059030533,"中山北路2段93巷26,40號間"
永靜公園,121.52178192,25.061559677,中山北路二段128巷內
伊通公園,121.53476715,25.050159454,松江路85巷內
吉林公園,121.52893066,25.050825119,吉林路14巷內
合江公園,121.53948212,25.058660507,合江街73巷口
朱昌公園,121.53881836,25.055459976,合江街58巷口
朱厝崙公園,121.5410614,25.047550201,龍江路21巷內
朱崙公園,121.54168701,25.049339294,龍江路45巷內
江寧公園,121.53941345,25.061229706,龍江路286巷
自強公園,121.548603,25.086019,大直街124巷內
明水公園,121.54805756,25.078819275,北安路538巷1弄1號前
林森公園,121.52587128,25.052339554,南京東路一段、林森北路右側
松江公園,121.53246307,25.050369263,松江路90巷
松錦1號公園,121.532404,25.060117,民生東路二段127巷
松錦2號公園,121.53208899999998,25.059608,民生東路二段115巷25弄
直安公園,121.54785156,25.081199646,北安路573巷內
花博公園美術園區,121.5239563,25.07060051,中山北路以東，民族東路以北 (原民族公園)
花博公園圓山園區,121.52062225,25.071569443,捷運圓山站以東、兒育中心以南、爭豔館以北、中山北路以西
花博公園新生園區,121.53050232,25.068569183,新生北路三段105號.民族東路松江路間
金泰公園,121.565167,25.076495,樂群一路旁，基隆河截彎取直範圍內(平均地權基金)
建興公園,121.53817749,25.047149658,八德路二段167巷內
培英公園,121.54498291,25.082269669,北安路501巷實踐大學前
康樂公園,121.52514648,25.053409576,南京東路一段、林森北路左側
復華公園,121.53968048,25.053129196,龍江路114巷內
晴光公園,121.52456665,25.063899994,"雙城街7,13及10巷口"
華山公園,121.525861,25.047745000000003,市民大道二段上
進安公園,121.53746796,25.045869827,八德路二段146巷內
集英公園,121.521344,25.065402,中山北路三段36巷14弄
圓山自然景觀公園,121.52233,25.075055,台北市中山區玉門街33號
敬業公園,121.556045,25.085728,北安路821巷4弄
新喜公園,121.53218842,25.065429688,吉林路393巷內
新祿公園,121.52964783,25.067159653,新生北路3段87巷內
新壽公園,121.52992249,25.063310623000003,吉林路301號對面
新興公園,121.52465057,25.061519623,中山北路二段137巷內
農安公園,121.53526306,25.065280914,農安街227巷3弄底
榮星花園公園,121.54049683,25.062650681,榮星花園舊址，民權東路建國北路
聚葉公園,121.52723600000002,25.060496,新生北路二段與錦州街交口(錦州橋下)
劍潭公園,121.524598,25.080108,圓山飯店西側，中山北路四段
德惠公園,121.53156281,25.067489624,吉林路461巷內
撫順公園,121.52199,25.064579,中山北路三段大同公司前
興安公園,121.54177856,25.055679321,遼寧街170巷
興亞公園,121.53160095,25.047380447,長安東路二段36巷內
興國公園,121.541941,25.0531,遼寧街116巷旁
遼寧公園,121.54231262,25.053600311,遼寧街185巷口
錦北公園,121.53582764,25.060489655,錦州街275號旁
錦州公園,121.52931976,25.060619354,錦州街138號對面
龍江公園,121.54216003,25.059820175,龍江路271巷
雙城公園,121.52401733,25.067310333,"雙城街40,46及37,43巷口"
力行1號綠地,121.53887177,25.084100723,通北街65巷，大直圓山二村，力行新村附近
力行2號綠地,121.53793335,25.083349228000003,大直圓山二村，通北街118巷內
中山129號綠地,121.53967285,25.053720474,中山區復華里龍江路118號
中山161號綠地,121.53315735,25.078069687,北安路忠烈祠圓環
中山240號綠地,121.54959869,25.086969376,北安路自強隧道口右側
中山381號綠地,121.54720306,25.07959938,北安路538巷口
中山411號綠地,121.55644989,25.083290100000003,"敬業三路旁,基隆河截彎取直範圍內"
中山412號綠地,121.55645752,25.082300186,"敬業三路旁,基隆河截彎取直範圍內"
中山413號綠地,121.55619812,25.083320618,"敬業三路旁,基隆河截彎取直範圍內"
中山414號綠地,121.5561676,25.081260681,"敬業三路旁,基隆河截彎取直範圍內"
中山415號綠地,121.55262756,25.080120087,"樂群二路旁,基隆河截彎取直範圍內"
中山416號綠地,121.55377197,25.080070496,"樂群二路旁,基隆河截彎取直範圍內"
中山417號綠地,121.5552597,25.080070496,"樂群二路旁,基隆河截彎取直範圍內"
中山418號綠地,121.55737305,25.080059052,"樂群二路旁,基隆河截彎取直範圍內"
中山419號綠地,121.55934143,25.080039978,"樂群二路旁,基隆河截彎取直範圍內"
中山420號綠地,121.56099701,25.080049515,"樂群二路旁,基隆河截彎取直範圍內"
中山421號綠地,121.56217194,25.080379486,"樂群二路旁,基隆河截彎取直範圍內"
中山422號綠地,121.552742,25.079860687,"樂群二路旁,基隆河截彎取直範圍內"
中山423號綠地,121.55380249,25.079839706,"樂群二路旁,基隆河截彎取直範圍內"
中山424號綠地,121.55491638,25.079839706,"樂群二路旁,基隆河截彎取直範圍內"
中山425號綠地,121.55581665,25.079839706,"樂群二路旁,基隆河截彎取直範圍內"
中山426號綠地,121.56221771,25.08011055,"樂群二路旁,基隆河截彎取直範圍內"
長春綠地,121.53800964,25.052900314,中山區復華里南京東路3段89巷27弄
中山4號廣場,121.52052307,25.052610397,中山區康樂里中山北路2段41號
九華公園,121.56137848,25.088590622,內湖路一段91巷39弄35-1號
下灣公園,121.59069824,25.066810608,內湖成功路二段189號旁      
上灣公園,121.59584045,25.065460205,民權東路六段210巷43號旁
大坑公園,121.598706,25.069037,民權東路六段191巷50號對面
大港墘公園,121.57299679999998,25.0774149,台北市內湖區港墘里瑞光路393號
大湖公園,121.602695,25.082976,成功路五段31號
山腳公園,121.57990265,25.084089279,環山路三段18號對面
五分公園,121.61479187,25.067119598,安康路448號對面
內湖125公園,121.61125946,25.064699173,南湖大橋東側與中山高速公路南側
文心公園,121.58418274,25.065450668,新湖二路及新湖三路交接處
文湖公園,121.560993,25.087427,內湖路1段91巷35弄40號對面
文德3號公園,121.57711792,25.075090408,內湖文德路50號至江南街71巷16弄
文德二號公園,121.58374023,25.077859879,文德路208巷旁
仙樹公園,121.56900024,25.085609436,環山路1段59巷14弄2號對面
北勢湖公園,121.56168365,25.083749771,內湖路一段66號旁(環保公園)
安泰公園,121.61863708,25.07408905,安泰街33巷底
安康公園(下),121.61061859,25.067209244,康寧路三段220號南湖高中旁
安康公園(上),121.61238098,25.067129135,康寧路三段245巷42號前
安湖三號公園,121.61569214,25.070419312,東湖路113巷49弄5號前
安湖公園,121.61541748,25.074020386,東湖路113巷141號前
成功公園,121.59662628,25.084299088,成功路四段223巷旁
行善公園,121.57557678,25.053260803,南京東路六段32號旁
西安公園,121.56748199,25.087450027,環山路一段136巷10弄10號對面
西安廣場,121.56085205,25.086759567,臺北市內湖區文湖街21巷20號對面
西康二號公園,121.5639267,25.084980011,內湖路1段203巷25號
西康公園,121.56439209,25.083120346,內湖路一段217巷旁
西湖公園,121.57038879,25.083610535,內湖路一段387巷3弄5-11號旁
扶輪親恩公園,121.57975006,25.066709518000003,民權東路六段30號旁
明美公園,121.5861969,25.06221962,南京東路六段北側（羊稠小段五期重劃區）
東湖一號公園,121.61213684,25.07559967,康寧路三段189巷163弄17號前
東湖二號公園,121.61092377,25.073890686,康寧路三段99巷39弄27號前
東湖四號公園,121.61808014,25.070449829,康樂街110巷16弄20號(康樂派出所前)
金瑞公園,121.58795166,25.08795929,金龍路213巷1弄28號前
金龍公園,121.59079901,25.08543218,金龍路112巷旁(碧湖國小旁)
長青公園,121.58174133,25.080980301,內湖路二段103巷34號旁
南湖一號公園,121.61109161,25.069139481,康寧路三段180巷22號對面(環保公園)
洲子1號公園,121.56433868,25.07957077,臺北市內湖堤頂大道、基湖路交叉口（環保公園、六期重劃）
洲子二號公園,121.5686264,25.07959938,瑞光路498號對面 (環保公園)
美善公園,121.57858276,25.056999207,行善路59巷20弄2號旁
畚箕湖公園,121.56006399999998,25.089436,文湖街21巷84至90號對面
康湖二號公園,121.6088,25.074042,成功路五段450巷23弄23號旁
康湖公園,121.6087265,25.074680328000003,成功路五段420巷30號旁
康寧公園,121.60958862,25.068910599,民權東路六段296巷121號對面
清白公園,121.59528351,25.081699371,成功路四段167巷16號對面（康寧國小旁）
港都公園,121.57523346,25.082719803000003,港華街40號旁(麗山國中後)
港華一號公園,121.573586,25.087734,環山路二段50巷2號旁
港華二號公園,121.57383728,25.087789536,環山路二段50巷11號旁
港華三號公園,121.57505798,25.086690903,環山路二段68巷14號麗山活動中心旁
港華六號公園,121.57462311,25.084260941,港華街85巷21號前
港華四號公園,121.57527924,25.086530685,環山路二段68巷14號對面
港墘公園,121.576437,25.080978,內湖路一段667巷9號之1
游美公園,121.59719849,25.064599991,民權東路六段206巷143弄底
湖山9號公園,121.60350037,25.085220337,大湖山莊街42-56號間
湖山八號公園,121.60327148,25.083919525,大湖山莊街25號旁
湖山三號公園,121.6044693,25.08716011,大湖山莊街65巷北側
湖山五號公園,121.60083771,25.081579208,大湖街158巷39號旁
湖山六號公園,121.60186005,25.083099365,大湖街166巷24號對面(大湖派出所後方)
湖山四號公園,121.60075378,25.082700729000003,大湖街160巷18弄2號對面
湖元公園,121.58702087,25.068229675,民權東路六段120巷3弄1號對面
湖畔公園,121.601473,25.088247,大湖山莊街177巷1號對面
湖聖公園,121.59176636,25.069770813,民權東路六段123巷20弄23號前
湖興公園,121.58959198,25.066930771,成功路二段312巷62號對面
湖寶公園,121.5995636,25.0666008,民權東路六段228號西側
週美綠地,121.58190155,25.056400299,臺北市內湖區新明路298巷以西至基隆河堤防
陽光公園,121.586719,25.076736,陽光街68巷口北側
新明公園,121.57881165,25.054130554,新明路428巷13號對面
煙波庭公園,121.59925079,25.086339951,大湖街131巷18弄61號對面
瑞光公園,121.5776825,25.071180344,瑞光路132巷旁內（六期重劃區）
瑞湖公園,121.57688904,25.069309235,民權東路六段19巷底
